Common Name,Designation,URL
Absolutno,XO-5,https://en.wikipedia.org/wiki/XO-5
Acubens,HR 3572,https://en.wikipedia.org/wiki/Alpha_Cancri
Adhil,HR 390,https://en.wikipedia.org/wiki/Xi_Andromedae
Ainalrami,HR 7116,https://en.wikipedia.org/wiki/Nu1_Sagittarii
Aiolos,HD 95086,https://en.wikipedia.org/wiki/HD_95086
Aladfar,HR 7298,https://en.wikipedia.org/wiki/Eta_Lyrae
Alasia,HD 168746,https://en.wikipedia.org/wiki/HD_168746
Alchiba,HR 4623,https://en.wikipedia.org/wiki/Alpha_Corvi
Alcor,HR 5062,https://en.wikipedia.org/wiki/Alcor_(star)
Aldulfin,HR 7852,https://en.wikipedia.org/wiki/Epsilon_Delphini
Alkarab,HR 8905,https://en.wikipedia.org/wiki/Upsilon_Pegasi
Alkes,HR 4287,https://en.wikipedia.org/wiki/Alpha_Crateris
Alruba,HR 6618,https://en.wikipedia.org/wiki/Alruba
Alsafi,HR 7462,https://en.wikipedia.org/wiki/Sigma_Draconis
Alsciaukat,HR 3275,https://en.wikipedia.org/wiki/31_Lyncis
Alshat,HR 7773,https://en.wikipedia.org/wiki/Nu_Capricorni
Alterf,HR 3773,https://en.wikipedia.org/wiki/Lambda_Leonis
Amadioha,HD 43197,https://en.wikipedia.org/wiki/HD_43197
Amansinaya,WASP-34,https://en.wikipedia.org/wiki/WASP-34
Anadolu,WASP-52,https://en.wikipedia.org/wiki/WASP-52
Añañuca,GJ 367,https://en.wikipedia.org/wiki/Gliese_367
Ancha,HR 8499,https://en.wikipedia.org/wiki/Theta_Aquarii
Angetenar,HR 850,https://en.wikipedia.org/wiki/Tau2_Eridani
Anser,HR 7405,https://en.wikipedia.org/wiki/Alpha_Vulpeculae
Arcalís,HD 131496,https://en.wikipedia.org/wiki/HD_131496
Arkab Posterior,HR 7343,https://en.wikipedia.org/wiki/Beta2_Sagittarii
Asellus Borealis,HR 3449,https://en.wikipedia.org/wiki/Gamma_Cancri
