Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Absolutno,07.46.519615,39.0540461,12.13,-21.509,-23.910,"Absolutno, TOI-5373, TIC 9155187, GSC 02959-00729, 2MASS J07465196+3905404, UCAC2 45499774",https://en.wikipedia.org/wiki/XO-5
Acubens,08.58.292042,11.5127649,4.20,42.181,-31.160,"Acubens, Sertan, Sartan, α Cnc, Alpha Cancri, Alpha Cnc, 65 Cancri, 65 Cnc, BD+12 1948, FK5 337, GC 12406, HD 76756, HIP 44066, HR 3572, SAO 98267, PPM 125972, ADS 7115 A, CCDM J08585+1151A",https://en.wikipedia.org/wiki/Alpha_Cancri
Adhil,01.22.2042008,45.31435962,4.90,31.681,9.024,"Adhil, ξ Andromedae, Xi And, ξ And, 46 Andromedae, BD+44 287, FK5 1035, HD 8207, HIP 6411, HR 390, SAO 37155, PPM 43919",https://en.wikipedia.org/wiki/Xi_Andromedae
Ainalrami,18.54.1017695,-22.44414247,4.86,4.291,-7.786,"Ainalrami, ν1 Sgr, 32 Sgr, BD−22°4907, HD 174974, HIP 92761, HR 7116, SAO 187426, WDS J18542-2245",https://en.wikipedia.org/wiki/Nu1_Sagittarii
Aiolos,10.57.0302157,-68.40024492,7.36,-41.128,12.861,"Aiolos, CD−68 847, Gaia DR2 5231963962676292224, HD 95086, HIP 53524, TYC 9212-4675-1, GSC 09212-04675, 2MASS J10570301-6840023",https://en.wikipedia.org/wiki/HD_95086
Aladfar,19.13.4548832,39.08454801,4.43,-0.60,-1.26,"Eta Lyr or η Lyr, 20 Lyr, BD+38°3490, HD 180163, HIP 94481, HR 7298, SAO 68010, WDS 19138+3909",https://en.wikipedia.org/wiki/Eta_Lyrae
Alasia,18.21.49783,-11.552165,7.95,-22.963,-68.395,"Alasia, BD−11°4606, HD 168746, HIP 90004, SAO 161386, PPM 234431",https://en.wikipedia.org/wiki/HD_168746
Alchiba,12.08.2481727,-24.43439521,4.03,96.976,-40.023,"Alchiba, Al Minliar al Ghurab, Al Chiba, 1 Crv, CD−24°10174, GCTP 2796.00, GJ 455.3, GJ 9389, HD 105452, HIP 59199, HR 4623, SAO 180505",https://en.wikipedia.org/wiki/Alpha_Corvi
Alcor,13.25.1353783,54.59166548,3.99,120.21,-16.04,"g Ursae Majoris, 80 Ursae Majoris, BD+55 1603, CCDM J13240+5456D, GC 18155, HD 116842, HIP 65477, HR 5062, PPM 34021, SAO 28751, WDS J13239+5456C",https://en.wikipedia.org/wiki/Alcor_(star)
Aldulfin,20.33.1277192,11.18117412,4.03,11.96,-28.97,"Aldulfin, ε Del, 2 Del, BD+10°4321, FK5 768, HD 195810, HIP 101421, HR 7852, SAO 106230",https://en.wikipedia.org/wiki/Epsilon_Delphini
Alkarab,23.25.2278350,23.24147606,4.40,192.19,36.12,"Alkarab, υ Peg, 68 Pegasi, BD+22°4833, FK5 881, GC 32585, HD 220657, HIP 115623, HR 8905, SAO 91253",https://en.wikipedia.org/wiki/Upsilon_Pegasi
Alkes,10.59.4646516,-18.17556304,4.07,-462.303,128.614,"7 Crt, NLTT 25942, LTT 4040, HD 95272, BD−17°3273, HIP 53740, HR 4287, FK5 1283, SAO 156375",https://en.wikipedia.org/wiki/Alpha_Crateris
Alruba,17.43.5917049,54.48061637,5.76,17.450,-18.125,"Alruba, BD+53°1978, CPD–51°9815, HD 161693, HIP 86782, HR 6618, SAO 30538",https://en.wikipedia.org/wiki/Alruba
Alsafi,19.32.2159021,69.39402358,4.674,597.384,-1738.286,"Alsafi, σ Draconis, Sig Dra, σ Dra, 61 Draconis, BD+69°1053, GJ 764, HD 185144, HIP 96100, HR 7462, LHS 477",https://en.wikipedia.org/wiki/Sigma_Draconis
Alsciaukat,08.22.5011000,43.11172724,4.25,-25.16,-99.23,"Alsciaukat, 31 Lyn, BN Lyn, NSV 4030, BD+43°1815, FK5 314, GC 11401, HD 70272, HIP 41075, HR 3275, SAO 42319",https://en.wikipedia.org/wiki/31_Lyncis
Alshat,20.20.3981562,-12.45326844,4.76,14.74,-14.32,"Alshat, ν Cap, Nu Cap, 8 Cap, BD−13°5642, HD 193432, HIP 100310, HR 7773, SAO 163468, ADS 13714, WDS J20207-1246A",https://en.wikipedia.org/wiki/Nu_Capricorni
Alterf,09.31.4322754,22.58046904,4.32,-20.17,-39.47,"Alterf, λ Leo, 4 Leo, BD+23°2107, HD 82308, HIP 46750, HR 3773, SAO 80885",https://en.wikipedia.org/wiki/Lambda_Leonis
Amadioha,06.13.3566155,-29.53501516,8.98,147.648,16.600,"Amadioha, CD−29°2884, HD 43197, HIP 29550, SAO 171427, PPM 250048",https://en.wikipedia.org/wiki/HD_43197
Amansinaya,11.01.358978,-23.5138387,10.28,-43.846,-65.637,"Amansinaya, CD−23 9677, CPD−23 5039, SAO 179442, TOI-744, TIC 437242640, WASP-34, TYC 6636-540-1, GSC 06636-00540, 2MASS J11013589-2351382, DENIS J110135.9-235138",https://en.wikipedia.org/wiki/WASP-34
Anadolu,23.13.587576,08.4540572,12.0,-6.942,-44.330,"Anadolu, TIC 427685831, WASP-52, 2MASS J23135873+0845405",https://en.wikipedia.org/wiki/WASP-52
Ancha,22.16.50037,-07.465984,4.175,118.929,-21.928,"Ancha, θ Aquarii, Tet Aqr, θ Aqr, 43 Aquarii, BD−08 5845, FK5 840, HD 211391, HIP 110003, HR 8499, SAO 145991",https://en.wikipedia.org/wiki/Theta_Aquarii
Angetenar,02.51.0232186,-21.00144654,4.78,-38.52,-16.05,"Angetenar, τ2 Eridani, 2 Eri, BD−21°509, HD 17824, HIP 13288, HR 850, SAO 168094",https://en.wikipedia.org/wiki/Tau2_Eridani
